job_id,job_date,vehicle_brand,vehicle_model,region,job_type,battery_type,is_mobile,parts_cost,labor_hours,hourly_rate,travel_cost,discount_pct,total_price,margin,customer_id,is_repeat_customer
79,14/12/2022,Hundai,Sonata Hybrid,North,Install,NiMH_Standard,0,646.37,3.05,90,0.0,0.1,993.94,73.52,1330,1
80,2023-08-11, kia,Optima Hybrid,West,Diagnostic,NiMH_Premium,0,105.62,0.96,103,0.0,0.0,259.39,54.88,2470,1
81,11-19-2024,nissan,Altima Hybrid,North,Install,NiMH_Standard,1,1087.02,3.77,128,69.95,0.0,2134.34,495.41,1462,0
82,01-17-2022,CHEVROLET ,Malibu Hybrid,West,Install,LiIon_Standard,0,1280.29,3.23,92,0.0,0.2,1627.6,49.85,2926,1
83,08-13-2022, honda,Accord Hybrid,North,Install,NiMH_Standard,1,1055.94,2.55,98,39.82,0.0,1764.07,417.97,2693,1
84,2023-07-01,lexus,ES 300h,North,Install,LiIon_Standard,0,1297.09,1.81,112,0.0,0.0,1988.03,488.36,1128,1
85,07/01/2023,Kia Motors,Niro Hybrid,North,Warranty_Replacement,NiMH_Premium,0,1391.91,2.77,134,0.0,0.05,2117.65,354.09,1345,0
86,2023-11-15, kia,Optima Hybrid,South,Install,NiMH_Premium,1,1145.25,2.4,99,65.64,0.0,1774.63,325.68,1882,1
87,2023-01-30,toyota,Camry Hybrid,South,Diagnostic,NiMH_Standard,0,9.05,1.24,104,0.0,0.0,163.14,25.54,2482,0
88,2023-12-23,ford ,Fusion Hybrid,North,Install,LiIon_Premium,0,1690.41,4.88,124,0.0,0.1,2558.35,262.56,2104,0
89,04-27-2022,LEXUS ,ES 300h,South,Warranty_Replacement,LiIon_Standard,0,1504.96,2.56,90,0.0,0.05,2252.49,517.03,1170,1
90,12-30-2022,LEXUS ,RX 450h,South,Install,NiMH_Premium,0,1264.2,4.29,101,0.0,0.05,1975.15,277.78,2256,0
91,01-29-2024,CHEVROLET ,Malibu Hybrid,East,Install,NiMH_Premium,0,1138.16,2.57,100,0.0,0.15,1515.16,120.05,2296,1
92,01/06/2023,lexus,RX 450h,West,Diagnostic,LiIon_Premium,0,89.87,1.74,105,0.0,0.0,179.23,-92.86,2859,1
93,21/02/2024,lexus,ES 300h,East,Install,LiIon_Standard,0,1416.53,3.02,113,0.0,0.05,2097.65,339.71,1531,0
94,2023-11-28,Chevrolet,Malibu Hybrid,North,Install,LiIon_Standard,1,1289.73,3.29,96,44.04,0.0,2039.37,389.5,1076,0
95,12-26-2022,NISSAN,Altima Hybrid,North,Warranty_Replacement,LiIon_Standard,0,1615.17,3.41,104,0.0,0.0,2516.91,546.63,2499,1
96,04-14-2023,FORD,Fusion Hybrid,,Install,LiIon_Premium,0,1637.91,2.78,130,0.0,0.2,2043.84,44.91,2405,0
97,22/11/2024, honda,CR-V Hybrid,North,Diagnostic,NiMH_Standard,1,110.08,1.21,126,30.57,0.1,392.15,99.09,2038,1
98,11-19-2024,Kia Motors,Optima Hybrid,South,Install,LiIon_Standard,0,1391.43,2.28,132,0.0,0.0,2222.07,530.02,2384,1
99,08/02/2022,KIA,Optima Hybrid,West,Diagnostic,NiMH_Premium,1,59.01,1.64,119,55.76,0.0,336.17,25.74,1357,0
100,12/02/2024,Honda ,CR-V Hybrid,West,Diagnostic,NiMH_Premium,0,67.27,0.92,114,0.0,0.0,113.77,-58.34,1251,0
101,06-22-2023,lexus,ES 300h,South,Install,LiIon_Premium,1,1822.17,3.82,95,55.06,0.1,2460.4,220.44,1804,1
102,2022-01-02,honda,Accord Hybrid,East,Install,LiIon_Premium,1,1717.37,1.68,92,65.53,0.0,2446.05,508.59,2788,1
103,11-26-2023,lexus,ES 300h,South,Install,NiMH_Premium,0,1240.57,3.44,111,0.0,0.15,1734.41,112.12,2028,0
104,01-26-2022,Toyta,Camry Hybrid,East,Install,NiMH_Premium,1,1003.68,2.49,105,50.3,0.0,1664.28,349.36,2278,0
105,2022-12-16,LEXUS ,ES 300h,North,Diagnostic,LiIon_Premium,1,99.68,1.57,124,43.64,0.0,328.35,-9.07,2991,0
106,26/01/2024,LEXUS ,ES 300h,North,Install,LiIon_Premium,1,1734.48,2.99,85,71.03,0.15,2286.04,226.46,1605,1
107,2024-06-08,LEXUS ,ES 300h,East,Install,LiIon_Standard,0,1292.33,2.57,129,0.0,0.15,1625.45,1.36,1960,0
108,28/03/2023,kia,Niro Hybrid,North,Install,NiMH_Standard,0,943.31,2.69,93,0.0,0.0,1444.7,251.15,2371,0
109,04/06/2024,CHEVROLET ,Volt,East,Install,NiMH_Standard,0,850.89,2.32,104,0.0,0.05,1215.06,122.92,1302,0
110,08/07/2024,Kia Motors,,South,Diagnostic,LiIon_Premium,1,62.24,1.62,102,57.53,0.15,252.17,-32.73,1803,1
111,06/05/2023, ford,Escape Hybrid,West,Install,LiIon_Standard,0,1270.97,2.16,131,0.0,0.1,1838.09,284.01,2110,0
112,09/07/2022,lexus,ES 300h,West,Install,LiIon_Standard,0,1244.3,2.79,121,0.0,0.05,1856.09,274.65,1607,1
113,12-23-2023,hyundai,Ioniq Hybrid,South,Diagnostic,LiIon_Standard,1,145.42,1.37,86,40.54,0.1,308.26,4.27,1440,0
114,01-16-2022,Chevrolet,Volt,East,Warranty_Replacement,NiMH_Premium,0,1309.42,3.13,127,0.0,0.15,1858.71,151.85,1875,1
115,2024-09-05,hyundai,Ioniq Hybrid,North,Install,NiMH_Premium,0,1083.78,2.99,118,0.0,0.05,1680.84,243.94,2759,0
116,01/03/2023,hyundai,Sonata Hybrid,South,Warranty_Replacement,LiIon_Standard,0,1544.36,1.83,88,0.0,0.0,2162.38,456.96,1832,1
117,04-12-2024,TOYOTA,RAV4 Hybrid,North,Install,NiMH_Standard,1,848.06,3.22,124,51.53,0.05,1561.3,262.57,2668,1
118,2024-03-16,Honda ,,West,Diagnostic,LiIon_Standard,0,80.88,0.5,86,0.0,0.1,50.0,-73.88,2353,0
119,02/06/2023,Hnda,CR-V Hybrid,West,Install,LiIon_Standard,0,1407.69,2.04,106,0.0,0.05,1893.27,269.22,1257,0
120,30/11/2024, toyota,RAV4 Hybrid,West,Install,LiIon_Standard,0,1063.6,2.7,93,0.0,0.0,1671.71,357.04,2828,0
121,05-21-2024,chevy,Volt,West,Install,NiMH_Standard,0,871.56,2.43,85,0.0,0.1,1305.15,227.08,2176,0
122,08-25-2024, kia,Niro Hybrid,West,Install,LiIon_Standard,0,1231.2,1.72,112,0.0,0.05,1788.1,364.33,2137,1
123,13/04/2022,KIA,Niro Hybrid,North,Install,NiMH_Standard,0,924.61,3.69,119,0.0,0.2,1497.38,134.11,2393,0
124,15/06/2023,CHEVROLET ,Volt,West,Install,NiMH_Standard,1,944.41,3.21,108,30.06,0.0,1689.98,369.06,1083,1
125,11-08-2024,Lexus  ,ES 300h,East,Install,NiMH_Premium,0,1190.73,3.11,102,0.0,0.1,1666.94,158.76,1503,0
126,09/06/2024,HYUNDAI,Sonata Hybrid,South,Install,NiMH_Standard,0,885.16,2.44,110,0.0,0.05,1365.62,211.53,2589,1
127,13/05/2023,toyota,RAV4 Hybrid,East,Install,LiIon_Premium,0,1827.82,3.06,92,0.0,0.0,2627.97,518.31,2252,1
128,19/03/2022,lexus,RX 450h,South,Install,LiIon_Premium,0,1736.18,3.41,87,0.0,0.05,2383.17,350.19,1778,1
129,06/11/2022,Hyundai ,,North,Warranty_Replacement,NiMH_Standard,1,904.97,1.81,92,33.84,0.0,1412.82,307.07,1925,0
130,19/09/2023,kia,,North,Warranty_Replacement,LiIon_Standard,0,1317.74,2.31,87,0.0,0.1,1739.59,220.78,2239,1
131,04/12/2023,Hyundai ,Sonata Hybrid,North,Install,NiMH_Premium,1,1420.31,2.36,123,29.88,0.1,1873.95,133.1,1964,1
132,10-09-2024,Hundai,Sonata Hybrid,South,Install,LiIon_Standard,1,1320.72,3.08,115,37.76,0.0,2227.61,515.17,1914,0
133,12/04/2022,Toyta,RAV4 Hybrid,West,Install,LiIon_Premium,1,1638.27,3.91,94,31.58,0.05,2280.24,242.48,2102,1
134,03-11-2023,HYUNDAI,Sonata Hybrid,East,Install,NiMH_Premium,1,970.92,3.99,113,53.8,0.2,1460.85,-14.24,1562,1
135,2022-10-25,Lexus  ,RX 450h,South,Diagnostic,NiMH_Standard,0,36.98,1.86,109,0.0,0.0,356.09,115.96,2140,0
136,11-17-2024,ford,Fusion Hybrid,South,Install,NiMH_Standard,1,843.96,3.23,90,62.92,0.15,1313.58,116.14,2384,0
137,07-01-2022,Hundai,Ioniq Hybrid,South,Install,,1,1186.99,3.03,133,73.3,0.0,2049.77,387.11,2419,0
138,30/08/2022,TOYOTA,RAV4 Hybrid,North,Install,LiIon_Premium,0,1633.33,2.64,131,0.0,0.0,2631.62,652.33,2240,0
139,11-23-2022,FORD,Fusion Hybrid,West,Install,NiMH_Premium,0,1242.14,1.55,122,0.0,0.05,1666.73,235.0,1904,1
140,26/04/2022,chevy,Volt,North,Diagnostic,NiMH_Premium,0,62.94,0.53,125,0.0,0.0,50.0,-78.89,2310,1
141,2023-12-06,Nisan,Altima Hybrid,East,Install,NiMH_Standard,1,790.26,2.87,112,52.0,0.15,1266.69,103.49,2445,0
142,07-29-2023,honda,,East,Install,LiIon_Premium,0,1773.52,2.91,125,0.0,0.1,2276.85,139.16,1620,0
143,09-03-2023,ford,Fusion Hybrid,,Install,NiMH_Standard,1,1064.33,4.13,111,44.56,0.1,1703.34,136.05,1971,0
144,20/09/2024,Chevrolet,Malibu Hybrid,West,Warranty_Replacement,LiIon_Standard,0,1167.14,2.92,93,0.0,0.1,1663.41,224.68,2355,0
145,2023-04-20,NISSAN,Altima Hybrid,North,Install,LiIon_Standard,0,1329.25,2.45,93,0.0,0.1,1718.64,161.46,2325,1
146,12-07-2022,Lexus  ,RX 450h,West,Diagnostic,NiMH_Standard,0,22.85,1.61,127,0.0,0.1,266.75,39.53,1992,1
147,16/02/2023, toyota,Camry Hybrid,East,Diagnostic,,0,35.76,0.96,107,0.0,0.1,53.87,-84.77,1526,0
148,05-26-2024,Hnda,Insight,East,Install,NiMH_Premium,0,1129.35,3.55,121,0.0,0.1,1815.04,256.61,2820,0
149,2023-08-02,LEXUS ,ES 300h,East,Diagnostic,NiMH_Standard,1,114.05,1.6,92,35.61,0.05,181.99,-115.14,2083,1
150,05/07/2022,Toyota ,Prius,West,Install,LiIon_Standard,0,1206.56,3.99,107,0.0,0.0,2147.84,513.96,2081,0
151,2024-01-26,LEXUS ,ES 300h,West,Diagnostic,LiIon_Standard,1,55.52,0.95,89,10.0,0.05,121.04,-29.36,1935,0
152,03-27-2024,ford ,Escape Hybrid,South,Install,NiMH_Standard,1,904.33,3.81,96,73.95,0.0,1802.72,458.54,2520,1
153,01/10/2022,Nisan,Rogue Hybrid,West,Install,NiMH_Premium,1,1204.45,1.5,90,24.92,0.0,1638.42,273.89,1604,1
154,2023-09-02,ford ,Fusion Hybrid,East,Install,NiMH_Standard,0,805.78,4.04,95,0.0,0.0,1640.6,451.31,2874,1
155,10/09/2023, chev,Volt,South,Install,NiMH_Standard,1,1138.35,2.98,115,51.41,0.0,1838.96,306.5,1124,0
156,11/07/2022,KIA,Optima Hybrid,West,Install,LiIon_Standard,1,1268.16,3.0,85,61.86,0.0,1837.43,252.67,1025,1
157,2022-01-10,honda,Accord Hybrid,South,Install,LiIon_Standard,1,1313.63,1.37,94,40.07,0.1,1670.9,188.41,2020,1
158,02-26-2024,Hundai,Ioniq Hybrid,,Install,,0,1251.79,2.69,119,0.0,0.1,1857.11,285.32,2718,0
159,2023-11-05,HYUNDAI,Sonata Hybrid,North,Install,NiMH_Standard,1,952.8,4.08,92,40.09,0.0,1774.08,405.43,1019,0
160,2024-02-21,lexus,RX 450h,North,Install,NiMH_Premium,0,1348.19,2.66,112,0.0,0.15,1827.92,181.95,2357,0
161,2023-02-18,nissan,Altima Hybrid,West,Warranty_Replacement,NiMH_Premium,0,1399.64,2.5,128,0.0,0.15,1882.15,162.59,1779,0
162,07-19-2023,Kia Motors,Optima Hybrid,South,Warranty_Replacement,LiIon_Premium,1,1608.53,2.02,124,45.68,0.15,1968.51,63.3,1043,1
163,2024-12-10, chev,Malibu Hybrid,South,Install,LiIon_Standard,1,1432.1,3.85,91,28.86,0.0,2325.46,514.14,1741,1
164,2022-09-04,Chevrolet,Malibu Hybrid,North,Install,LiIon_Premium,0,1765.96,3.15,92,0.0,0.0,2577.5,521.44,2293,0
165,16/12/2023,CHEVROLET ,Malibu Hybrid,South,Install,NiMH_Standard,0,1016.94,2.25,120,0.0,0.05,1474.96,187.46,2267,0
166,2022-05-25,lexus,ES 300h,West,Diagnostic,NiMH_Premium,1,77.24,1.23,102,74.42,0.1,287.08,10.14,2697,0
167,2022-03-13,ford,Fusion Hybrid,West,Install,LiIon_Standard,0,1277.56,4.28,105,0.0,0.05,2046.6,319.54,2974,0
168,2024-11-14,Honda ,Insight,North,Diagnostic,NiMH_Premium,0,108.07,1.45,108,0.0,0.1,363.85,99.31,1108,0
169,23/05/2022,ford ,Fusion Hybrid,East,Install,LiIon_Standard,1,1414.56,2.91,113,41.8,0.1,1970.87,186.03,2716,1
170,12-20-2023,toyota,RAV4 Hybrid,South,Install,NiMH_Premium,1,1387.89,4.8,107,20.65,0.15,2004.6,81.97,1019,1
171,18/07/2023,Toyta,RAV4 Hybrid,East,Diagnostic,LiIon_Premium,0,85.96,1.78,86,0.0,0.05,196.66,-42.34,2950,1
172,06-05-2024,Toyta,RAV4 Hybrid,South,Install,,0,887.17,3.65,89,0.0,0.15,1417.08,204.76,2547,0
173,2023-08-22,lexus,ES 300h,South,Diagnostic,LiIon_Premium,0,6.2,1.36,85,0.0,0.1,74.2,-47.49,2901,1
174,02-03-2024,KIA,Niro Hybrid,South,Install,NiMH_Premium,0,1006.65,3.58,98,0.0,0.0,1801.12,443.22,1135,1
175,09-06-2024, kia,Optima Hybrid,East,Install,NiMH_Premium,1,1152.69,3.61,125,23.15,0.1,1756.24,129.13,1148,0
176,2024-06-27,Chevrolet,Volt,South,Install,NiMH_Premium,1,1067.87,1.25,133,54.67,0.0,1652.14,362.85,2971,0
177,03-01-2024,Kia Motors,Optima Hybrid,South,Install,NiMH_Standard,0,997.7,3.32,108,0.0,0.0,1715.77,359.96,1563,0
178,06-27-2022,Honda ,Insight,West,Install,LiIon_Premium,0,1542.8,2.87,86,0.0,0.2,1868.67,78.94,1763,0
179,07-05-2022,nissan,Rogue Hybrid,East,Install,LiIon_Premium,0,1639.84,2.6,88,0.0,0.0,2422.89,554.24,1593,1
180,2023-06-29,Hyundai ,,,Install,LiIon_Premium,0,1644.56,2.84,125,0.0,0.05,2381.24,381.23,1313,1
181,23/12/2023,Nissan ,Altima Hybrid,West,Diagnostic,LiIon_Premium,0,116.14,0.5,102,0.0,0.2,112.71,-54.43,1142,1
182,01-01-2024,Honda ,Accord Hybrid,West,Install,LiIon_Standard,0,1227.01,1.56,129,0.0,0.0,1914.72,486.94,1270,0
183,2024-05-11,chevy,Malibu Hybrid,North,Install,NiMH_Premium,1,1254.29,4.0,110,65.88,0.0,2148.87,389.01,2693,0
184,24/04/2022, kia,,,Diagnostic,LiIon_Premium,0,85.87,1.43,128,0.0,0.0,114.54,-154.51,1053,0
185,09/07/2022,chevy,Volt,North,Install,NiMH_Standard,1,1008.39,1.07,91,44.32,0.05,1224.43,74.38,2790,0
186,06-14-2022,CHEVROLET ,Malibu Hybrid,East,Diagnostic,LiIon_Standard,0,105.51,0.91,127,0.0,0.0,114.23,-107.07,1440,1
187,08-16-2023,Hnda,Accord Hybrid,North,Install,NiMH_Premium,1,1195.99,3.7,112,36.05,0.0,2106.32,459.39,2209,0
188,11-26-2023,CHEVROLET ,Volt,East,Install,LiIon_Standard,1,1096.44,2.78,106,35.32,0.1,1763.72,337.69,1514,0
189,07/05/2022,honda,CR-V Hybrid,North,Diagnostic,NiMH_Premium,0,73.05,1.82,111,0.0,0.0,139.68,-135.66,2781,0
190,09/08/2024, ford,Escape Hybrid,South,Install,NiMH_Premium,0,1197.61,3.84,101,0.0,0.05,1823.22,237.79,1080,1
191,29/11/2022,Kia Motors,Optima Hybrid,West,Install,NiMH_Standard,1,934.32,1.91,115,41.56,0.0,1502.21,306.14,2428,0
192,2023-12-25,KIA,Optima Hybrid,South,Diagnostic,NiMH_Premium,0,57.87,1.13,123,0.0,0.05,322.97,126.31,2869,0
193,03/04/2024,HYUNDAI,Sonata Hybrid,West,Install,NiMH_Premium,0,1336.91,2.64,125,0.0,0.05,1919.8,252.7,1881,1
