job_id,job_date,vehicle_brand,vehicle_model,region,job_type,battery_type,is_mobile,parts_cost,labor_hours,hourly_rate,travel_cost,discount_pct,total_price,margin,customer_id,is_repeat_customer
51,2022-01-01 08:31:26,Lexus,ES 300h,South,Install,LiIon_Premium,0,1681.23,4.41,130,0.0,0.1,2542.05,287.5,2620,0
52,2022-05-22 11:34:19,Honda,Accord Hybrid,South,Install,LiIon_Standard,0,1342.97,1.23,119,0.0,0.0,1752.81,263.5,2334,1
53,2022-07-06 00:36:42,Ford,Fusion Hybrid,East,Install,NiMH_Standard,0,896.91,3.95,94,0.0,0.0,1606.52,337.84,2446,1
54,2024-10-10 15:10:15,Chevrolet,Malibu Hybrid,West,Install,NiMH_Standard,0,965.41,2.34,120,0.0,0.0,1573.56,326.96,2913,1
55,2022-07-13 19:40:52,Chevrolet,Volt,North,Diagnostic,LiIon_Standard,1,85.62,1.79,94,27.49,0.05,309.16,27.49,2174,0
56,2022-06-27 07:32:19,Toyota,Prius,East,Install,LiIon_Premium,0,1659.51,1.24,102,0.0,0.0,2243.99,458.21,2552,0
57,2024-07-06 09:30:02,Hyundai,Sonata Hybrid,North,Install,NiMH_Standard,0,656.9,2.81,94,0.0,0.15,934.44,13.21,1537,1
58,2024-08-20 19:28:34,Honda,Insight,North,Install,NiMH_Standard,0,963.26,4.16,119,0.0,0.05,1777.15,318.47,1519,0
59,2022-08-17 20:04:57,Kia,Niro Hybrid,South,Install,LiIon_Premium,0,1655.16,3.57,131,0.0,0.0,2598.62,475.71,2170,1
60,2023-12-14 06:00:00,Kia,Optima Hybrid,North,Install,LiIon_Premium,1,1793.35,2.73,87,41.75,0.1,2254.34,181.71,2803,1
61,2023-08-09 05:13:52,Nissan,Rogue Hybrid,East,Install,LiIon_Premium,0,1757.8,1.45,115,0.0,0.15,2090.18,166.13,1101,1
62,2023-09-24 15:55:12,Kia,Niro Hybrid,East,Install,NiMH_Standard,0,858.28,1.94,97,0.0,0.1,1244.91,198.25,2002,0
63,2022-12-07 21:37:51,Ford,Escape Hybrid,East,Install,NiMH_Standard,1,1022.76,4.11,122,42.72,0.05,1906.95,339.89,1404,0
64,2024-04-02 17:10:52,Nissan,Altima Hybrid,South,Install,NiMH_Premium,0,1224.58,2.72,91,0.0,0.0,1823.71,351.48,2768,0
65,2024-08-22 16:10:45,Chevrolet,Malibu Hybrid,East,Warranty_Replacement,NiMH_Standard,1,919.64,1.95,103,44.36,0.1,1170.77,5.96,2036,1
66,2024-03-05 23:15:09,Ford,Fusion Hybrid,South,Install,LiIon_Premium,1,1683.43,3.23,95,55.69,0.1,2408.06,362.39,1084,1
67,2024-09-15 23:00:46,Nissan,Rogue Hybrid,North,Install,NiMH_Standard,1,1102.03,1.96,128,30.2,0.2,1257.69,-125.13,1003,0
68,2022-05-02 00:37:41,Ford,Escape Hybrid,North,Install,LiIon_Standard,1,1214.41,3.33,89,26.95,0.05,1870.15,332.8,2279,1
69,2023-12-21 11:24:19,Toyota,Camry Hybrid,East,Install,LiIon_Premium,0,1661.28,2.66,114,0.0,0.1,2362.57,397.56,1464,0
70,2024-12-30 09:58:09,Chevrolet,Volt,West,Install,LiIon_Premium,0,1551.52,3.23,91,0.0,0.0,2319.33,473.43,1082,0
71,2023-08-10 13:33:35,Lexus,ES 300h,North,Install,LiIon_Standard,0,1387.21,2.54,114,0.0,0.0,2118.91,442.42,1304,0
72,2024-10-28 08:51:43,Honda,Insight,East,Install,LiIon_Premium,0,1630.14,1.74,123,0.0,0.0,2335.78,491.43,1308,1
73,2023-01-17 11:21:05,Chevrolet,Volt,East,Install,NiMH_Standard,0,843.6,2.66,122,0.0,0.0,1475.71,307.82,1691,0
74,2024-09-08 18:26:12,Honda,CR-V Hybrid,West,Install,NiMH_Premium,0,1137.97,3.51,86,0.0,0.05,1888.71,448.66,2436,0
75,2024-10-24 23:41:49,Kia,Optima Hybrid,South,Warranty_Replacement,NiMH_Standard,0,907.53,2.28,123,0.0,0.0,1416.87,229.41,2716,0
76,2023-11-13 09:45:30,Chevrolet,Malibu Hybrid,East,Install,LiIon_Premium,0,1549.91,3.02,99,0.0,0.1,2010.78,161.42,2064,0
77,2024-02-11 12:36:52,Ford,Fusion Hybrid,East,Install,LiIon_Premium,1,1430.81,3.72,119,40.95,0.05,2248.3,334.03,2894,0
78,2023-07-27 10:57:22,Honda,CR-V Hybrid,West,Install,NiMH_Standard,0,954.92,2.84,133,0.0,0.0,1804.59,472.33,2582,0
79,2022-12-14 01:39:57,Hyundai,Sonata Hybrid,North,Install,NiMH_Standard,0,646.37,3.05,90,0.0,0.1,993.94,73.52,1330,1
80,2023-08-11 05:24:04,Kia,Optima Hybrid,West,Diagnostic,NiMH_Premium,0,105.62,0.96,103,0.0,0.0,259.39,54.88,2470,1
81,2024-11-19 20:46:38,Nissan,Altima Hybrid,North,Install,NiMH_Standard,1,1087.02,3.77,128,69.95,0.0,2134.34,495.41,1462,0
82,2022-01-17 08:32:34,Chevrolet,Malibu Hybrid,West,Install,LiIon_Standard,0,1280.29,3.23,92,0.0,0.2,1627.6,49.85,2926,1
83,2022-08-13 13:39:33,Honda,Accord Hybrid,North,Install,NiMH_Standard,1,1055.94,2.55,98,39.82,0.0,1764.07,417.97,2693,1
84,2023-07-01 22:03:30,Lexus,ES 300h,North,Install,LiIon_Standard,0,1297.09,1.81,112,0.0,0.0,1988.03,488.36,1128,1
85,2023-01-07 15:49:52,Kia,Niro Hybrid,North,Warranty_Replacement,NiMH_Premium,0,1391.91,2.77,134,0.0,0.05,2117.65,354.09,1345,0
86,2023-11-15 00:39:51,Kia,Optima Hybrid,South,Install,NiMH_Premium,1,1145.25,2.4,99,65.64,0.0,1774.63,325.68,1882,1
87,2023-01-30 19:18:52,Toyota,Camry Hybrid,South,Diagnostic,NiMH_Standard,0,9.05,1.24,104,0.0,0.0,163.14,25.54,2482,0
88,2023-12-23 06:47:56,Ford,Fusion Hybrid,North,Install,LiIon_Premium,0,1690.41,4.88,124,0.0,0.1,2558.35,262.56,2104,0
89,2022-04-27 10:12:09,Lexus,ES 300h,South,Warranty_Replacement,LiIon_Standard,0,1504.96,2.56,90,0.0,0.05,2252.49,517.03,1170,1
90,2022-12-30 16:37:30,Lexus,RX 450h,South,Install,NiMH_Premium,0,1264.2,4.29,101,0.0,0.05,1975.15,277.78,2256,0
91,2024-01-29 15:04:45,Chevrolet,Malibu Hybrid,East,Install,NiMH_Premium,0,1138.16,2.57,100,0.0,0.15,1515.16,120.05,2296,1
92,2023-06-01 01:18:00,Lexus,RX 450h,West,Diagnostic,LiIon_Premium,0,89.87,1.74,105,0.0,0.0,179.23,-92.86,2859,1
93,2024-02-21 11:25:48,Lexus,ES 300h,East,Install,LiIon_Standard,0,1416.53,3.02,113,0.0,0.05,2097.65,339.71,1531,0
94,2023-11-28 18:14:33,Chevrolet,Malibu Hybrid,North,Install,LiIon_Standard,1,1289.73,3.29,96,44.04,0.0,2039.37,389.5,1076,0
95,2022-12-26 16:55:07,Nissan,Altima Hybrid,North,Warranty_Replacement,LiIon_Standard,0,1615.17,3.41,104,0.0,0.0,2516.91,546.63,2499,1
96,2023-04-14 23:52:07,Ford,Fusion Hybrid,West,Install,LiIon_Premium,0,1637.91,2.78,130,0.0,0.2,2043.84,44.91,2405,0
97,2024-11-22 08:08:24,Honda,CR-V Hybrid,North,Diagnostic,NiMH_Standard,1,110.08,1.21,126,30.57,0.1,392.15,99.09,2038,1
98,2024-11-19 12:54:46,Kia,Optima Hybrid,South,Install,LiIon_Standard,0,1391.43,2.28,132,0.0,0.0,2222.07,530.02,2384,1
99,2022-02-08 23:03:56,Kia,Optima Hybrid,West,Diagnostic,NiMH_Premium,1,59.01,1.64,119,55.76,0.0,336.17,25.74,1357,0
100,2024-02-12 11:01:07,Honda,CR-V Hybrid,West,Diagnostic,NiMH_Premium,0,67.27,0.92,114,0.0,0.0,113.77,-58.34,1251,0
101,2023-06-22 14:53:29,Lexus,ES 300h,South,Install,LiIon_Premium,1,1822.17,3.82,95,55.06,0.1,2460.4,220.44,1804,1
102,2022-01-02 09:28:26,Honda,Accord Hybrid,East,Install,LiIon_Premium,1,1717.37,1.68,92,65.53,0.0,2446.05,508.59,2788,1
103,2023-11-26 08:31:53,Lexus,ES 300h,South,Install,NiMH_Premium,0,1240.57,3.44,111,0.0,0.15,1734.41,112.12,2028,0
104,2022-01-26 11:47:05,Toyota,Camry Hybrid,East,Install,NiMH_Premium,1,1003.68,2.49,105,50.3,0.0,1664.28,349.36,2278,0
105,2022-12-16 02:25:57,Lexus,ES 300h,North,Diagnostic,LiIon_Premium,1,99.68,1.57,124,43.64,0.0,328.35,-9.07,2991,0
106,2024-01-26 21:05:21,Lexus,ES 300h,North,Install,LiIon_Premium,1,1734.48,2.99,85,71.03,0.15,2286.04,226.46,1605,1
107,2024-06-08 20:49:09,Lexus,ES 300h,East,Install,LiIon_Standard,0,1292.33,2.57,129,0.0,0.15,1625.45,1.36,1960,0
108,2023-03-28 20:18:47,Kia,Niro Hybrid,North,Install,NiMH_Standard,0,943.31,2.69,93,0.0,0.0,1444.7,251.15,2371,0
109,2024-06-04 14:13:56,Chevrolet,Volt,East,Install,NiMH_Standard,0,850.89,2.32,104,0.0,0.05,1215.06,122.92,1302,0
110,2024-07-08 05:17:47,Kia,Optima Hybrid,South,Diagnostic,LiIon_Premium,1,62.24,1.62,102,57.53,0.15,252.17,-32.73,1803,1
111,2023-05-06 01:27:08,Ford,Escape Hybrid,West,Install,LiIon_Standard,0,1270.97,2.16,131,0.0,0.1,1838.09,284.01,2110,0
112,2022-07-09 10:50:41,Lexus,ES 300h,West,Install,LiIon_Standard,0,1244.3,2.79,121,0.0,0.05,1856.09,274.65,1607,1
113,2023-12-23 19:41:02,Hyundai,Ioniq Hybrid,South,Diagnostic,LiIon_Standard,1,145.42,1.37,86,40.54,0.1,308.26,4.27,1440,0
114,2022-01-16 03:22:16,Chevrolet,Volt,East,Warranty_Replacement,NiMH_Premium,0,1309.42,3.13,127,0.0,0.15,1858.71,151.85,1875,1
115,2024-09-05 01:43:52,Hyundai,Ioniq Hybrid,North,Install,NiMH_Premium,0,1083.78,2.99,118,0.0,0.05,1680.84,243.94,2759,0
116,2023-03-01 22:48:14,Hyundai,Sonata Hybrid,South,Warranty_Replacement,LiIon_Standard,0,1544.36,1.83,88,0.0,0.0,2162.38,456.96,1832,1
117,2024-04-12 05:29:14,Toyota,RAV4 Hybrid,North,Install,NiMH_Standard,1,848.06,3.22,124,51.53,0.05,1561.3,262.57,2668,1
118,2024-03-16 23:45:52,Honda,Accord Hybrid,West,Diagnostic,LiIon_Standard,0,80.88,0.5,86,0.0,0.1,50.0,-73.88,2353,0
119,2023-06-02 18:53:17,Honda,CR-V Hybrid,West,Install,LiIon_Standard,0,1407.69,2.04,106,0.0,0.05,1893.27,269.22,1257,0
120,2024-11-30 01:00:17,Toyota,RAV4 Hybrid,West,Install,LiIon_Standard,0,1063.6,2.7,93,0.0,0.0,1671.71,357.04,2828,0
121,2024-05-21 23:06:22,Chevrolet,Volt,West,Install,NiMH_Standard,0,871.56,2.43,85,0.0,0.1,1305.15,227.08,2176,0
122,2024-08-25 14:25:26,Kia,Niro Hybrid,West,Install,LiIon_Standard,0,1231.2,1.72,112,0.0,0.05,1788.1,364.33,2137,1
123,2022-04-13 19:45:56,Kia,Niro Hybrid,North,Install,NiMH_Standard,0,924.61,3.69,119,0.0,0.2,1497.38,134.11,2393,0
124,2023-06-15 01:28:50,Chevrolet,Volt,West,Install,NiMH_Standard,1,944.41,3.21,108,30.06,0.0,1689.98,369.06,1083,1
125,2024-11-08 09:38:17,Lexus,ES 300h,East,Install,NiMH_Premium,0,1190.73,3.11,102,0.0,0.1,1666.94,158.76,1503,0
126,2024-06-09 00:50:17,Hyundai,Sonata Hybrid,South,Install,NiMH_Standard,0,885.16,2.44,110,0.0,0.05,1365.62,211.53,2589,1
127,2023-05-13 05:58:09,Toyota,RAV4 Hybrid,East,Install,LiIon_Premium,0,1827.82,3.06,92,0.0,0.0,2627.97,518.31,2252,1
128,2022-03-19 00:17:03,Lexus,RX 450h,South,Install,LiIon_Premium,0,1736.18,3.41,87,0.0,0.05,2383.17,350.19,1778,1
129,2022-11-06 00:42:17,Hyundai,Sonata Hybrid,North,Warranty_Replacement,NiMH_Standard,1,904.97,1.81,92,33.84,0.0,1412.82,307.07,1925,0
130,2023-09-19 15:19:02,Kia,Niro Hybrid,North,Warranty_Replacement,LiIon_Standard,0,1317.74,2.31,87,0.0,0.1,1739.59,220.78,2239,1
131,2023-12-04 19:49:11,Hyundai,Sonata Hybrid,North,Install,NiMH_Premium,1,1420.31,2.36,123,29.88,0.1,1873.95,133.1,1964,1
132,2024-10-09 02:33:44,Hyundai,Sonata Hybrid,South,Install,LiIon_Standard,1,1320.72,3.08,115,37.76,0.0,2227.61,515.17,1914,0
133,2022-04-12 16:28:52,Toyota,RAV4 Hybrid,West,Install,LiIon_Premium,1,1638.27,3.91,94,31.58,0.05,2280.24,242.48,2102,1
134,2023-03-11 01:00:06,Hyundai,Sonata Hybrid,East,Install,NiMH_Premium,1,970.92,3.99,113,53.8,0.2,1460.85,-14.24,1562,1
135,2022-10-25 22:30:25,Lexus,RX 450h,South,Diagnostic,NiMH_Standard,0,36.98,1.86,109,0.0,0.0,356.09,115.96,2140,0
136,2024-11-17 07:26:40,Ford,Fusion Hybrid,South,Install,NiMH_Standard,1,843.96,3.23,90,62.92,0.15,1313.58,116.14,2384,0
137,2022-07-01 21:13:15,Hyundai,Ioniq Hybrid,South,Install,NiMH_Premium,1,1186.99,3.03,133,73.3,0.0,2049.77,387.11,2419,0
138,2022-08-30 15:36:15,Toyota,RAV4 Hybrid,North,Install,LiIon_Premium,0,1633.33,2.64,131,0.0,0.0,2631.62,652.33,2240,0
139,2022-11-23 02:40:00,Ford,Fusion Hybrid,West,Install,NiMH_Premium,0,1242.14,1.55,122,0.0,0.05,1666.73,235.0,1904,1
140,2022-04-26 16:03:23,Chevrolet,Volt,North,Diagnostic,NiMH_Premium,0,62.94,0.53,125,0.0,0.0,50.0,-78.89,2310,1
141,2023-12-06 14:19:24,Nissan,Altima Hybrid,East,Install,NiMH_Standard,1,790.26,2.87,112,52.0,0.15,1266.69,103.49,2445,0
142,2023-07-29 14:45:15,Honda,CR-V Hybrid,East,Install,LiIon_Premium,0,1773.52,2.91,125,0.0,0.1,2276.85,139.16,1620,0
143,2023-09-03 15:14:07,Ford,Fusion Hybrid,East,Install,NiMH_Standard,1,1064.33,4.13,111,44.56,0.1,1703.34,136.05,1971,0
144,2024-09-20 10:26:52,Chevrolet,Malibu Hybrid,West,Warranty_Replacement,LiIon_Standard,0,1167.14,2.92,93,0.0,0.1,1663.41,224.68,2355,0
145,2023-04-20 06:02:25,Nissan,Altima Hybrid,North,Install,LiIon_Standard,0,1329.25,2.45,93,0.0,0.1,1718.64,161.46,2325,1
146,2022-12-07 20:25:04,Lexus,RX 450h,West,Diagnostic,NiMH_Standard,0,22.85,1.61,127,0.0,0.1,266.75,39.53,1992,1
147,2023-02-16 01:54:47,Toyota,Camry Hybrid,East,Diagnostic,NiMH_Standard,0,35.76,0.96,107,0.0,0.1,53.87,-84.77,1526,0
148,2024-05-26 04:12:47,Honda,Insight,East,Install,NiMH_Premium,0,1129.35,3.55,121,0.0,0.1,1815.04,256.61,2820,0
149,2023-08-02 14:58:32,Lexus,ES 300h,East,Diagnostic,NiMH_Standard,1,114.05,1.6,92,35.61,0.05,181.99,-115.14,2083,1
150,2022-07-05 06:30:14,Toyota,Prius,West,Install,LiIon_Standard,0,1206.56,3.99,107,0.0,0.0,2147.84,513.96,2081,0
151,2024-01-26 08:04:21,Lexus,ES 300h,West,Diagnostic,LiIon_Standard,1,55.52,0.95,89,10.0,0.05,121.04,-29.36,1935,0
152,2024-03-27 09:35:24,Ford,Escape Hybrid,South,Install,NiMH_Standard,1,904.33,3.81,96,73.95,0.0,1802.72,458.54,2520,1
153,2022-10-01 16:02:21,Nissan,Rogue Hybrid,West,Install,NiMH_Premium,1,1204.45,1.5,90,24.92,0.0,1638.42,273.89,1604,1
154,2023-09-02 22:40:04,Ford,Fusion Hybrid,East,Install,NiMH_Standard,0,805.78,4.04,95,0.0,0.0,1640.6,451.31,2874,1
155,2023-09-10 05:07:55,Chevrolet,Volt,South,Install,NiMH_Standard,1,1138.35,2.98,115,51.41,0.0,1838.96,306.5,1124,0
156,2022-07-11 15:26:45,Kia,Optima Hybrid,West,Install,LiIon_Standard,1,1268.16,3.0,85,61.86,0.0,1837.43,252.67,1025,1
157,2022-01-10 23:46:03,Honda,Accord Hybrid,South,Install,LiIon_Standard,1,1313.63,1.37,94,40.07,0.1,1670.9,188.41,2020,1
158,2024-02-26 07:19:58,Hyundai,Ioniq Hybrid,East,Install,LiIon_Standard,0,1251.79,2.69,119,0.0,0.1,1857.11,285.32,2718,0
159,2023-11-05 21:15:36,Hyundai,Sonata Hybrid,North,Install,NiMH_Standard,1,952.8,4.08,92,40.09,0.0,1774.08,405.43,1019,0
160,2024-02-21 13:30:38,Lexus,RX 450h,North,Install,NiMH_Premium,0,1348.19,2.66,112,0.0,0.15,1827.92,181.95,2357,0
161,2023-02-18 04:33:21,Nissan,Altima Hybrid,West,Warranty_Replacement,NiMH_Premium,0,1399.64,2.5,128,0.0,0.15,1882.15,162.59,1779,0
162,2023-07-19 09:38:16,Kia,Optima Hybrid,South,Warranty_Replacement,LiIon_Premium,1,1608.53,2.02,124,45.68,0.15,1968.51,63.3,1043,1
163,2024-12-10 22:11:35,Chevrolet,Malibu Hybrid,South,Install,LiIon_Standard,1,1432.1,3.85,91,28.86,0.0,2325.46,514.14,1741,1
164,2022-09-04 21:17:22,Chevrolet,Malibu Hybrid,North,Install,LiIon_Premium,0,1765.96,3.15,92,0.0,0.0,2577.5,521.44,2293,0
165,2023-12-16 19:48:36,Chevrolet,Malibu Hybrid,South,Install,NiMH_Standard,0,1016.94,2.25,120,0.0,0.05,1474.96,187.46,2267,0
166,2022-05-25 20:41:00,Lexus,ES 300h,West,Diagnostic,NiMH_Premium,1,77.24,1.23,102,74.42,0.1,287.08,10.14,2697,0
167,2022-03-13 22:20:14,Ford,Fusion Hybrid,West,Install,LiIon_Standard,0,1277.56,4.28,105,0.0,0.05,2046.6,319.54,2974,0
168,2024-11-14 04:39:45,Honda,Insight,North,Diagnostic,NiMH_Premium,0,108.07,1.45,108,0.0,0.1,363.85,99.31,1108,0
169,2022-05-23 03:41:13,Ford,Fusion Hybrid,East,Install,LiIon_Standard,1,1414.56,2.91,113,41.8,0.1,1970.87,186.03,2716,1
170,2023-12-20 02:45:12,Toyota,RAV4 Hybrid,South,Install,NiMH_Premium,1,1387.89,4.8,107,20.65,0.15,2004.6,81.97,1019,1
171,2023-07-18 01:19:17,Toyota,RAV4 Hybrid,East,Diagnostic,LiIon_Premium,0,85.96,1.78,86,0.0,0.05,196.66,-42.34,2950,1
172,2024-06-05 02:51:58,Toyota,RAV4 Hybrid,South,Install,NiMH_Standard,0,887.17,3.65,89,0.0,0.15,1417.08,204.76,2547,0
173,2023-08-22 12:47:53,Lexus,ES 300h,South,Diagnostic,LiIon_Premium,0,6.2,1.36,85,0.0,0.1,74.2,-47.49,2901,1
174,2024-02-03 04:23:07,Kia,Niro Hybrid,South,Install,NiMH_Premium,0,1006.65,3.58,98,0.0,0.0,1801.12,443.22,1135,1
175,2024-09-06 01:51:19,Kia,Optima Hybrid,East,Install,NiMH_Premium,1,1152.69,3.61,125,23.15,0.1,1756.24,129.13,1148,0
176,2024-06-27 06:34:04,Chevrolet,Volt,South,Install,NiMH_Premium,1,1067.87,1.25,133,54.67,0.0,1652.14,362.85,2971,0
